Scene Description,Type,Content,Sentiment Score
TRAVIS,Character,"Oh, you're dead, tits. Travis comes leaping over the railing with the knife, Victor and Snatch right behind. Ben grabs the hub cap and HURLS IT PELTING Travis IN THE FACE Travis trips up, taking down Victor and Snatch with him. They all splash down in the stream, where Travis LOSES THE KNIFE. Ben darts off across the water into a thicket of woods. ",-0.15423280423280425
THE BARRENS,Scene,"Travis gropes around for his lost knife, suddenly hysterical. ",-1.0
TRAVIS (CONT'D),Scene,"My knife, Goddamn it! I lost my daddy's knife! Victor and Snatch help Travis search the stream, their hands passing right by where the BLADE IS WEDGED UNDER A LOG. 24. ",0.2857142857142857
THE BARRENS - DAY,Scene,"Another boy's hand fishes around under water and grasps upon something. ON Will as he PULLS OUT A SNEAKER. Behind him... RICHIE and STAN throw branches, rocks, whatever into the middle of the stream trying to DAM IT UP. ",-0.2
RICHIE,Character,C'mon Eds get your ass down here and help. EDDIE paces the embankment with their shoes and socks and backpacks. He looks anxious. ,-0.20277777777777778
EDDIE,Character,No way. There's sixty million diseases in that stream. It's gray water. ,0.0
RICHIE,Character,What's gray water? ,0.0
EDDIE,Character,Tell `em Will. Your dad works for the public works. Will is studying the sneaker. ,0.0
WILL,Character,It's like where all the wash water and storm drain runoff goes. ,0.0
EDDIE,Character,Sewer water. Pee and poop. I'm telling you guys you're splashing around in Derry's toilet. Richie and Eddie shrug and continue building their dam. ,-0.03333333333333333
RICHIE,Character,Smells alright to me. ,0.0
WILL                              EDDIE,Character,Guys?                             Seriously. I don't know why we're down here. There's poison ivy and mosquitos and God knows what else could get us sick. Not to mention we're all alone down here. What if we run into that psycho who's been picking off kids. 25. ,-0.33968253968253975
WILL                            RICHIE,Character,Guys--                          I overheard my mom talking to my aunt in Bangor. She says it's a sex fiend. Some drifter. But no one from Derry. Couldn't be. ,0.0
WILL,Character,Guys! Shut up! They all shut up and turn to Will. ,0.0
RICHIE,Character,Whatcha got there Willy boy? Will comes sloshing up. He flips Richie the sneaker. ,0.0
WILL,Character,"Look inside. Richie does. ""DORSEY COEN"" is written in black marker. ",-0.16666666666666666
RICHIE,Character,Son of a-- Richie tosses it to Stan who drops it like a hot potato. ,0.25
WILL,Character,"Stan, you idiot. ",-0.8
STAN,Character,Sorry. ,-0.5
EDDIE,Character,What's the big deal? It's just a sneaker. Will has to fish it back out of the water. ,0.0
WILL,Character,It's Dorsey Coen's sneaker. ,0.0
EDDIE,Character,"Shit. This isn't good, guys. This seriously isn't good. We should go. ",0.39999999999999997
RICHIE,Character,How do you think Dorsey feels? Running around these woods with only one friggin' shoe. ,0.0
WILL,Character,If he's still running. 26. ,0.0
STAN,Character,What if... he's still around here? They all lock eyes. Will and Richie come to a decision. They pick up sticks and start sloshing down stream where the shoe was found. Stan stays frozen. ,-0.15555555555555559
WILL,Character,Dorsey! ,0.0
RICHIE,Character,Dorsey! ,0.0
EDDIE,Character,Guys-- Guys stop. We're gonna get in trouble. ,-0.2
RICHIE,Character,For what? ,0.0
EDDIE,Character,"I don't know. Disturbing evidence. Contaminating a scene. We should just mark where we found the shoe and leave an anonymous note to Chief Borton. My mom would have a major cow if she knew I was playing down here, I kid you not. ",-0.18159722222222222
RICHIE,Character,"Shit, Eds you get within twenty feet of a peanut she has a whole herd. I don't want to think what she'll have if you come home with another kid's corpse. ",0.0
EDDIE,Character,"That's not funny, Richie. That's so not funny. Will, please. ",-0.125
WILL,Character,I'm with Richie. If I were Dorsey I'd want us to look for me. ,0.0
EDDIE,Character,Fine. You guys can do what you want but I'm going. I have no interest in seeing the muddy mangled body of ,0.4166666666666667
SOME--,Character,He turns to see BEN STUMBLE FROM THE WOODS all bloody. Eddie screams and sloshes out into the stream he was so assiduously avoiding. 27. They all see Ben. ,-0.42500000000000004
RICHIE,Character,Holy friggin' Moses. What happened to you? BEN COLLAPSES on the river bank. The boys rush to his side. ,0.0
UP-MILE HILL - DAY,Scene,"Mike streaks past homes and businesses on his bike, riding into THE CENTER OF DOWNTOWN. He carries a package of MEAT on his bike. ",-0.175
COSTELLO'S MARKET - DAY,Scene,"Mike makes his delivery and gets cash from MR. COSTELLO, the grocer. ",0.0
DERRY SAVINGS AND LOAN - DAY,Scene,Mike deposits the money and takes a free lollypop from the teller. ,0.4
DERRY SAVINGS AND LOAN - DAY,Scene,"Mike steps outside, throws up the kick, and pushes his bike out into the street. Will's crew WHOOSHES PAST on their bikes, Will and Eddie, and Stan and bloody Ben riding double. ",-0.2625
RICHIE,Character,"Heads up, homeschool! ",0.0
MIKE,Character,"Eat me, townie! ",0.0
KISSING BRIDGE - DAY,Scene,"Travis, Snatch, Victor, and Hockstettler are still looking for the knife in the water under the bridge. ",0.0
SNATCH,Character,"It probably got washed away, Travis. Travis grabs Victor by his collar and growls in his face. 28. ",0.0
TRAVIS,Character,It ain't been washed away.     It's been stolen. ,0.0
VICTOR,Scene,"Stolen, by who? Travis points up the embankment at Mike, biking home over the bridge. ",0.0
TRAVIS,Character,That nigger right there. ,0.2857142857142857
COUNTRY ROAD - DAY,Scene,"Mike bikes home, sucking on the lollypop, when he notices something coming up fast behind him. TRAVIS and his boys in a beat up Trans Am. He starts peddling faster. Sees the KITCHENER IRONWORKS sign ahead and skids right down its path towards the ghostly titanic ruin. ",-0.017460317460317475
FIELD - KITCHENER IRONWORKS - DAY,Scene,"Mike looks around for a place to hide, a bird spooking off from the twisted carcass of the factory building. The Penobscot River flows behind. Travis and his boys skid to a stop in the field, machinery blocks their pursuit by car so they jump out on foot. Mike finds a SMOKESTACK laying in shattered sections in the grass. He stares into its big black bore, picks up a loose tile, and pitches it in. It lands with a faint echo in the darkness. ",-0.2739316239316239
KITCHENER IRONWORKS - MOMENTS LATER,Scene,"Travis, Snatch, Victor and Hockstettler search for Mike in the SKELETAL REMAINS of the old ironworks structure itself, an open wound of twisted iron beams. Oblivious to any danger other than their own volatile potential, we get a sense that around every corner, some ominous figure is just ducking out of sight. Mike clocks them from inside the smokestack, the dodges around the perimeter of the ironworks structure. 29. He nears the CELLAR HOLD, a yawning chasm on the edge of the ruins. Sees a Derry Historical Society PLAQUE: ",-0.009375000000000005
ON THESE PREMISES,Scene,,0.0
AN EXPLOSION TOOK THE LIVES,Scene,,0.0
OF 102 SOULS (88 CHILDREN),Scene,,0.0
"EASTER SUNDAY, 1906.",Scene,,0.0
MAY THEY REST IN PEACE,Scene,"PENNYWISE appears across the cellar hold OVER HIS SHOULDER. When Mike looks up from reading Pennywise IS GONE. Mike looks back across the weedy field to THE FENCE, his bike still leaned against it. It seems a million miles off. ",0.0
KITCHENER IRONWORKS,Character,"Travis and the boys continue to explore the far side of the factory, sensing Mike may have made a run for the river. ",0.1
/ KITCHENER IRONWORKS,Character,"Sensing an opportunity, Mike books it back to his bike. ",0.0
KITCHENER IRONWORKS,Character,"Hockstettler notices something off screen.    Walks towards it. Following Hockstettler we see what he sees: a lone BALLOON, as if just leaving the grasp of a child, floating up in the air. ",0.0
HOCKSTETTLER,Character,"What the fuh... He looks back at Travis and the others, who are sniffing out the weeds near the river. ",0.05
KITCHENER IRONWORKS,Character,Mike gets to his bike and starts pushing it up the hill. He looks back towards the factory. Travis and his boys still haven't come back to their car. Mike pedals home. 30. ,0.0
KITCHENER IRONWORKS,Character,"Travis, angry they didn't find Mike huffs back across the field, throwing a piece of scrap pipe he found against a giant corrugated wall. The entire factory vibrates with the gonging sound. ",-0.019999999999999997
TRAVIS,Character,"Let's go! That jungle monkey ain't here no more. Travis walks obliviously past AN EASTER EGG, smeared with bloody fingerprints, but Hockstettler sees it, picks it up. ",-0.3375
HOCKSTETTLER,Character,I'm staying. The three of them turn towards Hockstettler like he's insane. ,-1.0
TRAVIS,Character,Why? ,0.0
HOCKSTETTLER,Character,I don't know. ,0.0
(LAUGHING),Scene,I want to see its insides. He points towards the door leading to the dark innards of the factory. ,-0.15
HOCKSTETTLER (CONT'D),Scene,You guys want to come? ,0.0
TRAVIS,Character,,0.0
(DISGUSTED),Scene,Why the- Hell no. You mental? This place gives me the creeps. ,-0.1
KITCHENER IRONWORKS,Character,"Travis and the others load up and peel off in their car. Hockstettler watches them leave, a cloud of dust in their place, then turns towards the darkest parts of the factory, as if pulled deeper into the core unconsciously. ANGLE OVER CELLAR HOLD, Hockstettler peers in.   He grabs a handhold and sways over its cavernous depth. HOCKSTETTLER'S POV: Nothing but darkness. Hockstettler takes out his lighter and hairspray, launching a fire ball that illuminates the cavern below. 31. Monoliths of rusted machinery, half-submerged in stagnant puddles of black mud. And for an instance, a CLOWN.   Pennywise. Then blackness again. Hockstettler saw IT, but doesn't believe it. He unleashes another fire ball. For a second we see the faces of DEAD CHILDREN amongst the monoliths. Hockstettler isn't sure if he's seen right. He walks in, the hair rising on the back of his neck. ",0.06984126984126983
CELLAR HOLD - SAME,Scene,"Hockstettler carefully maneuvers his way down into the hold. His feet, blindly tapping for purchase. ",-0.2518518518518518
HOCKSTETTLER,Character,"I ain't afraid. Any you ghosts down here can't hurt me. As if it were a mantra, to make himself feel less scared. ",-0.3074074074074074
HOCKSTETTLER (CONT'D),Scene,I seen ghosts. I did them in their butt holes. And out of the darkness... ,0.0
PENNYWISE,Character,Did they float? He freezes.   Did he hear that or was that in his head? ,0.0
HOCKSTETTLER,Character,"I, I-   Who's there? Hockstettler lights a ball of hair spray, it illuminates the walls near him, but nothing far away. ",0.1
HOCKSTETTLER (CONT'D),Scene,"There's no one down here. There's no one that can hurt me. He moves down deeper. Lights the hair spray again, and for second, we think we glimpsed, deeper in the shadows, Pennywise. ",-0.10370370370370373
PENNWISE,Character,,0.0
(WHISPERING),Scene,"Patrick... Answer me. 32. Now sure he's heard something, Patrick stops. His breathing starts to rapidly increase. He wants to back up, but he's frozen. He lifts up his hair spray can, finger shaking on the plastic nozzle, he lifts the lighter. CLINK. The flint lights up the small flame. Sputtering in the flowing air in the cellar. His breathing is arrhythmic, compressed. ",0.11249999999999999
PENNYWISE,Character,"Because down here, we all float. He sprays. The flame spits out and out of the darkness, PENNYWISE the clown leaps onto Hockstettler, tumbling him into the cellar hold, he drops the lighter and hairspray, which rolls down to the feet of a child. A DEAD CHILD. ",-0.1703703703703704
KEENE'S PHARMACY - DAY,Scene,"The pack of boys, Will, Richie, Ben, and Eddie come biking down Center Street and swing into RICHARD'S ALLEY. They jump off, bikes clattering to the pavement. ",-0.1277777777777778
WILL,Character,"Okay Richie, you and... ",0.5
BEN,Character,Ben. ,0.0
WILL,Character,"Ben stay here. We'll get some bandages and stuff. Will and Eddie race in, leaving Ben and Richie in the alley which is emblazoned with a COLORFUL MURAL about the FBI's ambush of the infamous Bradley Gang, a celebrated slice of Derry town history. ",0.04999999999999999
BEN,Character,Thanks for helping me. ,0.2
RICHIE,Character,"You're not the only one on Bower's shitlist. Ben nods, grateful for the company. He notices in the mural, in one of the windows, a CLOWN watches the ambush with glee. ",0.0
KEENE'S PHARMACY - DAY,Scene,Eddie snatches cotton balls and antiseptic and bandages off the shelf like an expert. He checks the prices. 33. ,0.0
EDDIE,Character,"Woah, that's a lot of money. Will? Will pulls out one crumbled dollar. ",0.0
WILL,Character,All I got.     You got an account here don't you? ,0.0
EDDIE,Character,You crazy? My mom finds out I bought this stuff for myself I'll have to spend the whole weekend in the emergency room getting x-rayed. ,-0.19999999999999998
WILL,Character,"Well we need to do something. That kid out there looks like someone killed him. They glance at the mirror where MR. KEENE (70s) the grumpy, eagle-eyed pharmacist watches them like a hawk. ",-0.2
BEVERLY (O.S.),Scene,"You consider a diversion? They all turn to Beverly, who stands there sly and smiling. ",0.0
WILL,Character,Huh? ,0.0
BEVERLY,Character,Your friend there. He has that thingy he always carries around in his cute little fannypack right? ,0.1994047619047619
EDDIE,Character,My EpiPen Jr.? ,0.0
BEVERLY,Character,Yeah. For when he spazzes out. ,0.0
EDDIE,Character,I don't spaz. Those are allergic reactions. Life threatening allergic reactions. ,0.0
BEVERLY,Character,Whatever. The point is he has a track record right? Of spazzing out. ,0.2857142857142857
EDDIE,Character,,0.0
I DON'T--,Scene,34. ,0.0
WILL,Character,"Eds, shut up. She's on to something. ",0.0
SAME - MOMENTS LATER - DAY,Scene,Mr. Keene fills prescriptions. Eddie flops out of the aisle clutching his throat. Will and Beverly run out after. ,0.0
WILL,Character,Oh no. Eddie! Eddie! ,0.0
BEVERLY,Character,I knew I shouldn't `a given him that granola. Mr. Keene! ,0.0
MR. KEENE,Character,"You guys know the drill, don't you? Will fishes the EPI-PEN from the fanny pack. ",0.0
WILL,Character,I'm a pacifist. ,0.0
BEVERLY,Character,"My mom doesn't like me handling needles. Annoyed, Keene comes out from behind the counter. He kneels next to Eddie and takes the pen, plunging it into his thigh. Will screens Beverly as she SHOPLIFTS THE SUPPLIES and SLIPS OUT THE STORE. Eddie opens his eyes, breathing normal. ",-0.1625
EDDIE,Character,"Thanks, Mr. Keene.   That one was a real shit kicker. ",-0.05000000000000002
KEENE'S PHARMACY - DAY,Scene,Will and Eddie race out laughing. Bev is waiting on the curb to meet them. She flips Will the stolen goods. ,0.0
BEVERLY,Character,Not bad for a bunch of amateurs. She flashes a pack of STOLEN CIGARETTES and struts off towards her house. THEY LOVE THIS GIRL. Will closes Eddie's mouth and they hustle round the corner into RICHARD'S ALLEY. ,0.21666666666666665
WILL,Character,"We got it! 35. He flips Ben his medicine. Stan runs up from behind, still looking blanched from his synogogue experience. ",-0.4
EDDIE,Character,"Shit Stan, what happened to you? You look like you've seen a ghost. ",-0.2
STAN,Character,"Nothing. He sees Ben there, looking like a train wreck. ",0.0
STAN (CONT'D),Scene,What happened to him? ,0.0
POLICE STATION - DAY,Scene,"ANGLE ON A CLOSE-UP of the ""Coen shoe"" placed on a desk in front of CHIEF BORTON and OFFICER BOWERS, Travis' hillbilly father. Will is alone in the room with them while-- ",0.0
POLICE STATION - MAIN BULL PEN - SAME,Scene,"Ben, all bandaged up, looks on with Eddie, Richie, and Stan as Will speaks to the police officers. ",0.0
BEN,Character,Beverly was there? ,0.0
EDDIE,Character,Yeah. ,0.0
BEN,Character,"And she stole this stuff for me? Stanley wants Ben to shut up, but Ben is beyond excited. ",0.2875
BEN (CONT'D),Scene,Did she know it was for me? ,0.0
RICHIE,Character,I don't think she even knows you're alive man. ,0.1
BEN                          STAN,Character,Yes she does.                   What's going on in there? ,0.0
RICHIE (CONT'D),Scene,"What do you think? He's handing `em the kid's shoe. It's riveting. Ben checks his Timex, cracked but working. 36. ",0.5
RICHIE (CONT'D),Scene,"Takes a lickin' and keeps on tickin', huh? ",0.0
BEN,Character,My mom gave it to me so I wouldn't be late for curfew. ,-0.3
EDDIE,Character,"I think he means you, Big Ben. The boys shove him playfully.   Ben shoves back. ",0.0
BEN,Character,"It's funny, `til the last week I didn't think anyone knew my name. ",0.125
RICHIE,Character,You're pretty friggin' hard to miss. ,-0.020833333333333343
EDDIE,Character,"Guys, you think whoever kidnapped Dorsey might of, I dunno... got Georgie too? ",0.0
RICHIE                            BEN,Character,"If he creeps in storm drains,    Who's Georgie? maybe. ",0.0
EDDIE (CONT'D),Scene,Will's little brother. Or was. Before your time. ,-0.1875
RICHIE,Character,"Will won't talk about it but the kid's arm got ripped clean off in a flash flood or something. Richie turns towards Stan, who's been unnaturally quiet this whole time. ",0.18888888888888888
RICHIE (CONT'D),Scene,Cat got your tongue? ,0.0
STAN,Character,What? ,0.0
RICHIE                           EDDIE,Character,Why are you so quiet?            What's Chief Borton going to do with a shoe? ,0.0
STAN                            BEN,Character,I'm not.   I'm listening.        A storm drain. Crazy. 37. Will steps out. ,-0.6
RICHIE,Character,Well? ,0.0
EDDIE,Character,What did he say? ,0.0
WILL,Character,Nothing. Thanked me for being a good young citizen. ,0.39999999999999997
RICHIE,Character,So let's get outta here. Police stations always make me feel guilty of something. ,-0.5
OLD CAPE STREET - DAY,Scene,"The five losers bike home, Will and Eddie, Stan and Ben riding double. Will skids up to a chain link fence by the rail yards. Eddie jumping off to take his usual short cut. They all splinter off their different ways. ",-0.09
EDDIE,Character,Later days. ,0.0
RICHIE,Character,Barrens? Don't fag out. ,0.0
WILL,Character,Fag you later. ,0.0
WILL'S HOUSE - NIGHT,Scene,"Will lays out on the carpet in front of the TV, eating ice cream from a carton. His parents sit on opposite ends of the couch like bookends, father flips through a Popular Mechanics. His mom stares at the TV, her mind elsewhere. There seems to be no connection between any of them. ",0.3
WILL,Character,I found something today. No response. Finally his Mom stirs. ,0.0
SHARON,Character,You say something honey? ,0.0
WILL,Character,That missing Coen boy. I found a clue. 38. His parents flash looks. ,-0.2
ZACH,Character,"Stay out of it, Will. Let the police handle these things. They go back to watching TV. Will tries for some sort of connection. ",-0.05
WILL,Character,"What about Arcadia? His dad stops mid flip, all the air going out of the room. ",0.0
WILL (CONT'D),Scene,We haven't talked about our park trip at the end of the summer. Usually by now we're all looking at the brochure together. We have so much fun there every-- Will's dad throws the magazine down. ,-0.0351851851851852
ZACH,Character,Enough. He storms out to his workshop. Sharon is too upset to look her son in the eye. ,0.0
WILL,Character,What did I say? ,0.0
SHARON,Character,"Nothing... Your father, it's just too much to deal with right now. ",0.24285714285714285
WILL,Character,I'll mow lawns. Paint fences. Whatever. ,0.0
SHARON,Character,"It's not that. She loses it for a moment, then composes herself. ",-0.3
SHARON (CONT'D),Scene,"Your brother just looked forward to this trip so much. That park was his favorite place in the world. She takes Will's carton and retreats into the kitchen. Will is left all alone, TV blaring, spoon hanging over nothing. 39. ",0.2333333333333333
WILL,Character,Mine too. ,0.0
BEVERLY'S APARTMENT - NIGHT,Scene,A slummy apartment over Lower Main Street. A Red Sox game blares on from somewhere down the hall. We track down the hallway and PAN just as Beverly starts to unzip her pants and close the door. ,-0.1088888888888889
"BEVERLY'S APARTMENT, BATHROOM - NIGHT",Scene,Beverly finishes peeing. She reaches for toilet paper but there isn't any. She rifles through the toiletries under the old fashioned sink basin looking for anything she can use- ,0.03333333333333334
CHILD'S VOICE (O.S.),Scene,"Help me. Beverly looks around for the voice, startled. ",0.0
CHILD'S VOICE (O.S.) (CONT'D),Scene,"Help me, Beverly. It comes from THE SINK DRAIN, above her head. She stands, her pants still around her ankles, leaning forward over the basin, looking down into the dark void. ",-0.10185185185185186
BEVERLY,Character,Is s-someone there? Nothing. BEV'S EYE PEERS DOWN THROUGH THE CIRCLE OF LIGHT. ,0.12222222222222222
CHILD'S VOICE (O.S.),Scene,"We all want to meet you, Beverly. She gasps, backpedaling, pulling up her pants. ",0.0
BEVERLY,Character,"Who are you? The single voice turns into a cacophony, bubbling up through the ages. ",-0.07142857142857142
CHILD'S VOICE (O.S.),Scene,"I'm Matthew... I'm Dorsey... I'm Veronica... I'm Georgie... Come play with us down here... Come play with the clown... You'll float, Beverly. Oh how you'll float... 40. Terrified, Beverly dashes out. ",-0.15555555555555559
"BEVERLY'S APARTMENT, LIVING ROOM - NIGHT",Scene,"Bev finds HER FATHER (40s) asleep in front of the TV, still in his janitor's uniform from Derry Home Hospital. His toolbelt is thrown up on the coffee table. She tip-toes over and steals the TAPE MEASURER. ",0.0
"BEVERLY'S APARTMENT, BATHROOM - NIGHT",Scene,"Beverly stands over the sink basin, tape measurer in hand. The voice is silent. She unfurls the tape into the drain, its tip disappearing into the void. FOOT BY FOOT she snakes the tape into the drain, until it's fully extended at 20 feet. She waits for a voice. Nothing. Slowly, she begins to reel the tape back in, counting down the length as it winds back in. 16 feet... 15 feet... 14 feet... AT 13 FEET VISCOUS BLOOD COATS THE TAPE. BEVERLY GASPS and drops the measurer. It goes clattering into the sink, the tape coiling up like a snake, blood flickering everywhere as she stumbles back, tripping into the shower. ",-0.07592592592592594
BLOOD GOUTS UP FROM THE SINK DRAIN,Scene,"Like a demonic ejaculation -- blood splatters the mirror, the wallpaper, bouncing off walls and covering Beverly. She SCREAMS and runs out the door... ",0.0
"BEVERLY'S APARTMENT, LIVING ROOM - NIGHT",Scene,"...into her father, who comes charging up the hall. She screams again, recoiling away. ",0.0
MR. MARSH,Character,"What the devil's gotten into you, girl? ",0.0
BEVERLY,Character,"The bathroom! Daddy, in the ",0.0
BATHROOM--,Character,His arm shoots out and GRABS HER WRIST LIKE A VICE. 41. ,0.0
MR. MARSH,Character,"Someone peeking at you, Bevvie? Huh? ",0.0
BEVERLY,Character,"No... the sink... in the sink... He stalks past, dragging her behind him. They step into... ",-0.325
"BEVERLY'S APARTMENT, BATHROOM - NIGHT",Scene,"Mr. Marsh looks around, eyes wide, blood splattered everywhere, but the blood doesn't register with him. He shoves her against the wall. Hard. ",-0.19583333333333336
MR. MARSH,Character,You know I hate gettin' rough with you. I never do when you don't deserve it. He points back to the gory sink. ,-0.35
MR. MARSH (CONT'D),Scene,"What's my tape measurer doin' outta my toolbelt? He steps over and grabs the BLOOD-COATED TAPE, clipping it onto his belt, blood on his hands now too. He doesn't seem to see any of it. Only Beverly can. She realizes this. ",0.0
MR. MARSH (CONT'D),Scene,Answer me girl. He raises his hand. ,0.0
BEVERLY,Character,"The sink... I was... I thought I saw a spider... Uncertain whether he'll hit her anyway, she closes her eyes and prepares for a smacking. ",0.0
MR. MARSH,Character,,0.0
(SMILING),Scene,A spider? ,0.0
BEVERLY,Character,"Yes, sir. I'm sorry for waking you. He lowers his hand, gentle now, proprietary. 42. ",-0.15
MR. MARSH,Character,"I worry about you, Bevvie. I worry a lot. Smoothing out her hair over her forehead. The blood on her face like finger paint. This is when he scares her the most. ",0.5
MR. MARSH (CONT'D),Scene,You know why I don't drink or smoke or chase after women like other fathers do? ,-0.125
BEVERLY,Character,Because you love momma? ,0.5
MR. MARSH,Character,"Not just her, Bevvie. You. You're almost a woman now, too. And I got me all I need right here at home. He rests his forehead against hers, breathes in her scent, goes back down the hall to his game. ",-0.06746031746031747
DETAIL ON CEILING - NIGHT,Scene,"ANGLE ON a wet, dark spot as it grows on a white plaster ceiling, the first droplet of water forming. SLOW MOTION as it breaks away and falls through space... ",-0.06000000000000001
SMASH :,Character,,0.0
WILL'S BEDROOM - NIGHT,Scene,"...onto Will's head. He doesn't stir. But then it is followed by SEVERAL OTHERS. Finally, he awakes. Looks up. A leak in the ceiling. Will flips back his covers. ",0.0
BATHROOM HALLWAY - NIGHT,Scene,"Will grabs a bucket from a utility closet and, walking back, sees Georgie's room's door open... ",0.0
GEORGE'S BEDROOM - NIGHT,Scene,"Will enters, the room frozen in time. GEORGIE'S TOY BOX is open. Photographs and posters line the walls. 43. STAR WARS bedsheets crisp and military tight on the bed.    A Lego Turtle on the night stand. Will picks it up. Will sits down, Turtle in hand, and indulges in the sadness that has engulfed his home for months. The loss of his brother hitting him full force, he closes his eyes to fight back the tears, but cannot. He cries for George. Photographs of George, illuminated by passing cars, seem to watch him from the walls. A SHADOW seems to stretch across Georgie's room from the doorway. Will looks up but no one is there. ",0.023696145124716544
CORRIDOR - WILL'S HOUSE - NIGHT,Scene,"Will steps out of George's room and finds DARK FOOTPRINTS IN THE CARPET. He leans down and touches one -- squishy and wet. They track down the dark staircase. Will, heart pounding, follows the wet footprints down the stairs, careful not to step in any of them. ",-0.13333333333333333
WILL,Character,Hello?   Dad? ,0.0
DOWNSTAIRS - WILL'S HOUSE - DAY,Scene,At the bottom of the stairs Will finds the footprints lead ,0.0
TOWARD THE KITCHEN WHERE...,Scene,,0.0
WILL,Character,"Ma? Will sees a YELLOW FLASH of something ducking around the corner. Startled, Will drops the Lego turtle, which smashes into pieces and scatters across the wood floor... ",0.0
"WILL HEARS GEORGIE'S ""CODE"" CALL FROM THE OPENING SCENE.",Scene,,0.0
IT COMES FROM THE KITCHEN,Scene,Will looks back up the stairs half-expecting his parents to wake up. Nothing but an eerie silence. He gathers his courage and follows the wet footprints into... 44. ,-0.19999999999999998
KITCHEN - WILL'S HOUSE - DAY,Scene,"Will steps in, face to face with THE CELLAR DOOR, the door creaking closed, light snapped on behind it, footprints disappearing down into the cellar. ",-0.06388888888888888
WILL,Character,,0.0
(VOICE QUIVERING),Scene,Georgie? ,0.0
"WILL RESPONDS WITH HIS OWN ""CODE"" CALL. THERE IS NO",Scene,,0.0
IMMEDIATE RESPONSE,Character,"Will slowly approaches the door and reaches out for the handle, but stops with second thoughts. He starts backing away, too spooked to go down, when he hears... A CHILD WEEPING BEYOND THE DOOR, then... ",-0.15185185185185188
"GEORGIE'S ""CODE"" CALL, COMING FROM THE BASEMENT",Scene,,0.0
CELLAR - WILL'S HOUSE - DAY,Scene,"Will opens the door, rickety stairs leading down into darkness, the weeper somewhere in the recesses, along with the steady sound of a LEAK. Steeling himself, Will descends. He gets to the last few rungs and is thrown off for a moment seeing HIS REFLECTION in the basement floor, as if it were A BLACK MIRROR. He realizes ",0.007407407407407404
THE CELLAR HAS FLOODED,Scene,"Will looks up toward the leak/weeping sound and sees, curled in the same corner where we had that opening POV... ",0.2
GEORGE IN HIS YELLOW SLICKER.,Scene,Rain rolling off him like he's still in a storm flooding the cellar. He looks up at Will. ,0.0
GEORGE,Character,"Why'd you make me go, Willy? ",0.0
WILL,Character,"Georgie? Will moves to step into the water when he hesitates, holding his foot over it. He looks to Georgie whose expression of distress seems insincere. ",0.0
GEORGE,Character,"Help me, Willy. 45. Will grabs a rake from the wall and pokes its tip into the water. It's a good six inches deep. ",0.35
GEORGE (CONT'D),Scene,"You'll float. Water and muck pour from his mouth as he says these last words, an endless cascade. Will recoils. Georgie glides over the water towards Will, and we realize there is a creature beyond it, the colors of a clown's costume, PENNYWISE, propping up Georgie's body like a ",-0.0625
MEAT PUPPET.,Scene,"Horrified, Will races up the stairs as... PENNYWISE crosses the flooded basement and scuffles up the steps after Will, arms and legs splayed out like a charging crocodile, Georgie's limp corpse strapped to his back. Will slams the door on Pennywise's/Georgie's gross face. ",-0.06666666666666667
"WILL DENBROUGH'S HOUSE, WILL'S ROOM",Scene,"Will slams the door of his room and hides in his bed. Panting. The DOOR KNOB starts to rattle. Drip. Will looks up. The leak from the ceiling getting worse. The DOOR KNOB rattles even more. Shaking until it seems like its going to fall off. Silence. Will approaches the door. He grabs a baseball bat and prepares to attack. Swinging open the door, ready to swing... it's his FATHER. ",0.075
ZACH,Character,Will. Seeing the bat. ,0.0
ZACH (CONT'D),Scene,"Easy! What's wrong? What's all the noise about? Will exhales, safety. ",0.02083333333333337
WILL,Character,There's a leak in my ceiling. Then I went to check the cellar and its ,0.0
FLOODED AND--,Character,Zack looks at Will's ceiling. 46. ,0.0
ZACH,Character,"Where's the leak, son? Will points at it but nothing registers for Zach. ",0.0
"WILL'S HOUSE, BASEMENT DOOR - MOMENTS LATER",Scene,"Will and Zach stand over the stairwell. Zach turns the light on and walks down, much to Will's horror, into a puddle of water. ",0.14814814814814814
ZACH,Character,"Dry as a bone, Will.   Sure it wasn't just a dream? Will holds himself, too freaked out to speak. ",0.21666666666666667
EDGE OF THE BARRENS - MORNING,Scene,"Will, Stan, Richie, Ben and Eddie stand at the edge of a police cordon. Beyond, CHIEF BORTON and A LINE OF POLICE OFFICERS, SHERIFF'S DEPUTIES and VOLUNTEERS sweep the woods with blood hounds. ",0.0
RICHIE,Character,But we got a project we're working on out there. ,0.0
CHIEF BORTON,Scene,"Barren's will be off limits for now, kids. Go on into town and play there. They all look on in disappointment.   Then pick up their bikes and head back into town. A dog picks up a scent near A MORLOCK HOLE -- a cement cylinder that sticks about four feet out of the ground with a vented iron manhole cover stamped: DERRY SEWER DEPARTMENT. A drone comes from somewhere deep within. Officer Butch Bowers arrives with news for Chief Borton. ",-0.125
OFFICER BOWERS,Character,"We've got another one, Chief. ",0.0
CHIEF BORTON,Scene,Another what? ,0.0
OFFICER BOWERS,Character,Kid gone missing. 47. ,-0.2
CHIEF BORTON,Scene,Dear Lord.     Who is it? ,0.0
OFFICER BOWERS,Character,"One of my son's friends. Patrick Hockstettler. PAN OVER to reveal Travis, waiting meekly inside Officer Bowers' squad car. ",0.0
